id,equip_coordonnees,inst_numero,inst_nom,equip_type_name,equip_type_famille,aps_name,equip_acc_libre,equip_url,inst_adresse,new_code,equip_prop_nom,equip_gest_type,inst_acc_handi_bool
83290,"{'lon': 5.36605, 'lat': 43.36284}",I132150017,École Les Borels,Multisports/City-stades,Multisports/City-stades,"['Basket-Ball', 'Football / Football en salle (Futsal)', 'Handball / Mini hand / Handball de plage']",true,,3 Boulevard BELLEVUE,13215,,Commune,true
83291,"{'lon': 5.359204, 'lat': 43.382756}",I132150018,École Notre Dame Limite Les Fabrettes,Multisports/City-stades,Multisports/City-stades,"['Basket-Ball', 'Football / Football en salle (Futsal)', 'Handball / Mini hand / Handball de plage']",false,,126 Chemin de Mimet,13215,,Commune,true
83292,"{'lon': 5.359757, 'lat': 43.335593}",I132150034,Ecole La Cabucelle,Court de tennis,Court de tennis,['Tennis'],false,,52 Boulevard Viala,13215,,Commune,true
83293,"{'lon': 5.343597, 'lat': 43.375027}",I132150049,École Verduron Haut,Multisports/City-stades,Multisports/City-stades,"['Basket-Ball', 'Football / Football en salle (Futsal)', 'Handball / Mini hand / Handball de plage']",false,,73 Boulevard Marius BREMOND,13215,,Commune,true
83294,"{'lon': 5.3743, 'lat': 43.3435}",I132150051,École Les Castors St Joseph Servières,Multisports/City-stades,Multisports/City-stades,"['Football / Football en salle (Futsal)', 'Handball / Mini hand / Handball de plage']",false,,Place des compagnons Batisseurs,13215,,Commune,true
87602,"{'lon': 5.41313, 'lat': 43.517079}",I130010030,AIX GOLF,Practice,Parcours de golf,['Golf'],false,,255 Route de valcros,13001,,Etablissement privé commercial,false
87603,"{'lon': 5.413251, 'lat': 43.507242}",I130010041,GOLF CLUB AIX MARSEILLE,Parcours 18 trous,Parcours de golf,['Golf'],false,,Domaine riquetti LES MILLES,13001,,Etablissement privé commercial,false
87604,"{'lon': 5.416544, 'lat': 43.511339}",I130010048,TENNIS CLUB DE PUYRICARD,Court de tennis,Court de tennis,['Tennis'],false,,CHEMIN DU CHATEAU D'ALPHERAND,13001,,Etablissement privé commercial,false
87605,"{'lon': 5.398775, 'lat': 43.481183}",I130010055,MAISON D'ARRET DE LUYNES,Salle de culturisme,Salle ou terrain spécialisé,['Musculation'],false,,2285 ROUTE L'ENFANT LUYNES,13001,,Etat,true
87608,"{'lon': 5.41651, 'lat': 43.56869}",I130010086,CENTRE DE LIGUE DE TENNIS PROVENCE,Court de tennis,Court de tennis,['Tennis'],false,,1175 CHEMIN DES CRUYES,13001,,Association(s),false
87613,"{'lon': 5.451219, 'lat': 43.512703}",I130010126,COMPLEXE SPORTIF RUOCCO ANGARI,Terrain de football,Terrain de grands jeux,"['Football / Football en salle (Futsal)', 'Pétanque et jeu provencal']",false,,AV GASTON BERGER,13001,,Etat,true
87615,"{'lon': 5.4904, 'lat': 43.3227}",I130020002,TENNIS PART DE FONTVIEILLE,Court de tennis,Court de tennis,['Tennis'],false,,RTE DES 4 SAISONS DOMAINE FONTVEILLE,13002,,Etablissement privé commercial,false
87618,"{'lon': 5.14664, 'lat': 43.71808}",I130030008,ECURIE DE PERSEVERE,Carrière,Equipement équestre,"['Equitation', ""Saut d'obstacle""]",false,,CAMPAGNE GIOTTE ET PARADIS,13003,,Etablissement privé commercial,false
87621,"{'lon': 4.731028, 'lat': 43.557951}",I130040021,TENNIS MUNICIPAL MAS THIBERT,Court de tennis,Court de tennis,['Tennis'],false,,RUE DU CHATEAU D'EAU HAMEAU MAS THIBERT,13004,,Association(s),false
87623,"{'lon': 4.73134, 'lat': 43.413102}",I130040027,COMPLEXE SPORTIF SALIN DE GIRAUD,Salle multisports (gymnase),Salle multisports,"['Autres Danses', 'Basket-Ball', 'Gymnastique Artistique', 'Handball / Mini hand / Handball de plage']",false,,SALIN DE GIRAUD,13004,,Commune,false
87626,"{'lon': 5.57959, 'lat': 43.28428}",I130050047,CLIMB UP AUBAGNE,Salle de blocs artificiels d'escalade,Structure Artificielle d'Escalade,['Escalade'],false,,250 chemin du merlançon,13005,SAS 4B,Etablissement privé commercial,false
87627,"{'lon': 4.75934, 'lat': 43.91361}",I130100009,LES ECURIES DU GRAND RECHAUSSIER,Carrière,Equipement équestre,"['Dressage', 'Equitation', ""Saut d'obstacle""]",false,,CHEMIN DU CANAL DES ALPINES,13010,,Etablissement privé commercial,false
87628,"{'lon': 4.97462, 'lat': 43.842060000000004}",I130180002,LE HARAS DES OUTURES,Manège,Equipement équestre,"['Dressage', 'Equitation']",false,,ROUTE DE CAVAILLON,13018,,Etablissement privé commercial,false
87629,"{'lon': 5.35588, 'lat': 43.44616}",I130190002,SALLES DE DANSE - ART K DANSE,Salle de danse,Salle ou terrain spécialisé,"['Autres Danses', 'Danses par Couple (Danses de compétition)']",false,,Avenue Raymond Martin,13019,,Commune,false
87630,"{'lon': 5.37302, 'lat': 43.46697}",I130190005,SPORTING CLUB CABRIES,Court de tennis,Court de tennis,['Tennis'],false,,86 CHEMIN DES RIGAU QUARTIER DU GAY,13019,,Privé non commercial,true
87632,"{'lon': 5.55292, 'lat': 43.403743}",I130200004,PROVENCE A CHEVAL,Carrière,Equipement équestre,['Equitation'],,,5 CHEMIN ECUREUILS QUARTIER ST JOSEPH,13020,,,true
87633,"{'lon': 5.15687, 'lat': 43.33872}",I130210007,TENNIS CLUB DE CARRY LE ROUET,Court de tennis,Court de tennis,['Tennis'],false,,QUARTIER DE LA LOGE,13021,,Commune,true
87635,"{'lon': 5.14277, 'lat': 43.332947}",I130210008,TENNIS MUNICIPAL,Court de tennis,Court de tennis,['Tennis'],false,,ALLEE DE PROVENCE,13021,,Commune,true
87638,"{'lon': 5.53633, 'lat': 43.21799}",I130220011,CENTRE D'ANIMATION COMMUNAL,Salle de danse,Salle ou terrain spécialisé,"['Autres Danses', 'Tai chi chuan / Chi gong']",false,,33 AVENUE DE LA VIGUERIE,13022,,Commune,false
87640,"{'lon': 5.62671, 'lat': 43.21009}",I130230005,SALLES POLYVALENTES,Salles polyvalentes / des fêtes / non spécialisées,Salle non spécialisée,"['Gymnastique Artistique', 'Gymnastique Aérobic', 'Gymnastique Rythmique']",true,,CHEMIN DES PEUPLIERS,13023,,Commune,true
87641,"{'lon': 5.1601, 'lat': 43.3895}",I130260014,SKATE PARK ET TERRAIN MULTISPORTS,Multisports/City-stades,Multisports/City-stades,"['Basket-Ball', 'Football / Football en salle (Futsal)', 'Handball / Mini hand / Handball de plage']",true,,Boulevard Jean-jacques Rousseau,13026,,Commune,true
