id,equip_coordonnees,inst_numero,inst_nom,equip_type_name,equip_type_famille,aps_name,equip_acc_libre,equip_url,inst_adresse,new_code,equip_prop_nom,equip_gest_type,inst_acc_handi_bool
178713,"{'lon': 5.41437, 'lat': 43.2917}",I132050004,COLLEGE FRAISSINET,Salle de gymnastique sportive,Salle ou terrain spécialisé,['Gymnastique Acrobatique'],false,,208 RUE ST PIERRE,13205,,Département,false
178714,"{'lon': 5.39174705744, 'lat': 43.2900714163}",I132050005,COLLEGE JEAN MALRIEU,Multisports/City-stades,Multisports/City-stades,"['Football / Football en salle (Futsal)', 'Handball / Mini hand / Handball de plage', 'Tennis de table']",false,,Rue francois arago,13205,,Commune,true
178715,"{'lon': 5.385, 'lat': 43.2541}",I132080012,LYCEE PROFESSIONNEL LEAU,Salle multisports (gymnase),Salle multisports,"['Badminton', 'Jeu de volant', 'Basket-Ball', 'Escalade', 'Gymnastique volontaire', 'Handball / Mini hand / Handball de plage']",false,,63 Boulevard leau,13208,,Etablissement Public,true
178717,"{'lon': 5.39227, 'lat': 43.26838}",I132080047,GYMNASE AZOULAY ECOLE,Salle multisports (gymnase),Salle multisports,"['Basket-Ball', 'Escrime (Epée / Fleuret / Sabre )', 'Gymnastique Acrobatique']",false,,TRAVERSE DES PALETTES,13208,,Commune,true
178719,"{'lon': 5.43932, 'lat': 43.286124}",I132100007,LYCEE MARCEL PAGNOL,Structure Artificielle d'Escalade,Structure Artificielle d'Escalade,['Escalade'],false,,128 BOULEVARD SAINT LOUP,13210,,Etablissement Public,false
178722,"{'lon': 5.368444, 'lat': 43.353669}",I132150035,Ecoles Aygalades Oasis et Oasis 1,Terrain de basket-ball,Terrain extérieur de petits jeux collectifs,,false,,Boulevard de la padouane,13215,,Commune,true
184082,"{'lon': 5.45552, 'lat': 43.52799}",I130010018,LYCEE VAUVENARGUES,Salle multisports (gymnase),Salle multisports,"['Autres Danses', 'Badminton', 'Jeu de volant', 'Basket-Ball', 'Football / Football en salle (Futsal)', 'Gymnastique Acrobatique', 'Handball / Mini hand / Handball de plage', 'Musculation', 'Tennis de table']",false,,60 BOULEVARD CARNOT,13001,,Région,false
184167,"{'lon': 5.411503, 'lat': 43.299208}",I132120037,COLLEGE DARIUS MILHAUD,Terrain de handball,Terrain extérieur de petits jeux collectifs,['Basket-Ball'],false,,30 BOULEVARD LOUIS ARMAND,13212,,Département,true
184176,"{'lon': 5.352833, 'lat': 43.341323}",I132150009,LYCEE SAINT EXUPERY,Salle multisports (gymnase),Salle multisports,"['Basket-Ball', 'Handball / Mini hand / Handball de plage', 'Volley-ball / Volley-ball de plage (beach-volley) / Green-Volley']",false,,529 CHEMIN DE LA MADRAGUE VILLE,13215,,Région,true
184192,"{'lon': 5.390203, 'lat': 43.504176}",I130010094,INSTALLATION SPORTIVES ECOLE JOSEPH ROUMANILLE,Terrain de handball,Terrain extérieur de petits jeux collectifs,['Handball / Mini hand / Handball de plage'],false,,36 AV ALBERT COUTON LES MILLES,13001,,Commune,false
184193,"{'lon': 5.445856, 'lat': 43.542718}",I130010107,INSTALLATIONS SPORTIVES ECOLE LES LAUVES,Terrain de basket-ball,Terrain extérieur de petits jeux collectifs,['Basket-Ball'],false,,46 AV PAUL CEZANNE,13001,,EPCI,true
184194,"{'lon': 5.444995, 'lat': 43.531296}",I130010110,INSTALLATION SPORTIVES ECOLE JEAN JAURES,Terrain de basket-ball,Terrain extérieur de petits jeux collectifs,['Basket-Ball'],false,,Avenue de Grassi,13001,,Commune,false
184195,"{'lon': 4.631, 'lat': 43.6831}",I130040048,COLLEGE FREDERIC MISTRAL,Salle de danse,Salle ou terrain spécialisé,,false,,2 Esplanade de la laïcité BP 186,13004,,Département,true
184196,"{'lon': 4.987381, 'lat': 43.503029}",I130470022,LYCEE ARTHUR RIMBAUD,Multisports/City-stades,Multisports/City-stades,['Basket-Ball'],false,,QUARTIER DES SALLES BP 50651,13047,,Etablissement Public,true
